letter;avg_count
A;0.0001155802126675913
B;0.00031522124591197445
C;7.365035720423243e-05
D;0.0001678838243935197
E;0.0006162695152013147
F;0.0009735518416355671
G;0.00020498804236419543
H;0.00017131110095934218
I;0.0003544842254519674
J;0.0
K;0.00011195700850873264
L;0.0
M;0.0001514692517418964
N;0.0001383891502906172
O;0.0008983572895277207
P;6.700167504187605e-05
Q;0.0
R;0.00014830194275545008
S;9.511670820096258e-05
T;0.0002704018171002109
U;0.0002768549280177187
V;0.00012347203358439315
W;0.0
X;0.0
Y;0.0
Z;0.00027839643652561246
