letter;count
A;0.0029472954230235784
B;0.002048938098427834
C;0.0018167088110377335
D;0.0030219088390833542
E;0.004724732949876746
F;0.004705500567905241
G;0.002869832593098736
H;0.00314070351758794
I;0.005317263381779511
J;0.004096623816923294
K;0.0028549037169726824
L;0.001548658861426005
M;0.0031505604362314452
N;0.0027677830058123443
O;0.002566735112936345
P;0.0024455611390284755
Q;0.0029850746268656717
R;0.0023728310840872013
S;0.001997450872220214
T;0.004272348710183333
U;0.0024916943521594683
V;0.0033337449067786145
W;0.00344988344988345
X;0.0028328611898017
Y;0.003920031360250882
Z;0.0019487750556792874
